Nom de l'entreprise Latin alphabet,Dernière année disp.,EffectifsDernière année disp.,EffectifsAnnée - 1,EffectifsAnnée - 2,Dernière mise à jour - Statut...,Forme juridique nationale,Statut juridique standardisé,Code d'identifiant,Libellé d'identifiant,Extraction,Date de clôtureDate of the last available value for Effectifs,derniers_effectifs,effectifs_22_23_sup_5000,derniers_effectifs_sup_5000,SIREN
FORVIS MAZARS SA,2023,6003,5472,5383,"",SA directoire,Sociétés anonymes,784824153-00232,SIRET number,22 août,,6003,1,TRUE,784824153
FOUNDEVER FRANCE,2022,,6261,6142,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,389652553-00105,SIRET number,22 août,,6261,,TRUE,389652553
FRANCE TELEVISIONS,2023,9900,9905,8368,"",SA,Sociétés anonymes,432766947-00019,SIRET number,22 août,,9900,1,TRUE,432766947
FRET SNCF,2023,5293,5343,5538,08/2021,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,518697685-02383,SIRET number,22 août,,5293,1,TRUE,518697685
GALILEO GLOBAL EDUCATION STRATEGY,2022,7600,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,879031110-00023,SIRET number,22 août,,7600,,TRUE,879031110
GE HEALTHCARE TECHNOLOGIES FRANCE SAS,2022,6060,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,480046895-00052,SIRET number,22 août,,6060,,TRUE,480046895
GL EVENTS,2023,5650,5119,4710,"",Société Anonyme,Sociétés anonymes,351571757-00035,SIRET number,22 août,,5650,1,TRUE,351571757
GLOBAL AUTOMOTIVE LOGISTICS,2022,5821,6258,6669,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,420705444-00057,SIRET number,22 août,,5821,,TRUE,420705444
GROUPE DUBREUIL,2023,6146,5598,5299,"",SA,Sociétés anonymes,320651649-00024,SIRET number,22 août,,6146,1,TRUE,320651649
GROUPE MORGAN SERVICES,2023,5181,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,722023728-00131,SIRET number,22 août,,5181,,TRUE,722023728
GROUPE SPIE BATIGNOLLES,2022,,7701,7625,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,844936781-00021,SIRET number,22 août,,7701,,TRUE,844936781
HIGHWAY,2022,7404,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,880242375-00025,SIRET number,22 août,,7404,,TRUE,880242375
HOLDING SOPREMA,2021,9720,,7187,"",SA,Sociétés anonymes,558500187-00775,SIRET number,22 août,,9720,,TRUE,558500187
INETUM,2023,8764,8652,8455,01/2024,SASU,Sociétés à responsabilité limitée,385365713-00978,SIRET number,22 août,,8764,1,TRUE,385365713
INVESTCO EMERA,2022,6020,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,879089928-00011,SIRET number,22 août,,6020,,TRUE,879089928
IPSEN,2023,5325,5072,5744,"",Société Anonyme,Sociétés anonymes,419838529-00040,SIRET number,22 août,,5325,1,TRUE,419838529
ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL,2023,7939,7976,7958,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,514080837-00016,SIRET number,22 août,,7939,1,TRUE,514080837
KELLY SERVICES,2021,,,5624,"",SASU,Sociétés à responsabilité limitée,311305650-01599,SIRET number,22 août,,5624,,TRUE,311305650
LACROIX GROUP,2023,5326,5521,3994,"",Société Anonyme,Sociétés anonymes,855802815-00123,SIRET number,22 août,,5326,1,TRUE,855802815
LATECOERE,2022,5918,4764,4172,"",Société Anonyme,Sociétés anonymes,572050169-00026,SIRET number,22 août,,5918,,TRUE,572050169
LNA SANTE,2023,9201,8878,8646,"",Société Anonyme,Sociétés anonymes,388359531-00067,SIRET number,22 août,,9201,1,TRUE,388359531
M I I MARS INDUSTRIES ET INVESTISSEMENT,2022,6036,6178,6318,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,350858809-00055,SIRET number,22 août,,6036,,TRUE,350858809
MAISONS DU MONDE,2023,7350,8108,8651,"",Société Anonyme,Sociétés anonymes,793906728-00035,SIRET number,22 août,,7350,1,TRUE,793906728
MAJ,2023,,,6616,04/2022,SA,Sociétés anonymes,775733835-01313,SIRET number,22 août,,6616,,TRUE,775733835
MANE INVESTISSEMENTS,2022,7635,6982,,"",SA directoire,Sociétés anonymes,399036649-00016,SIRET number,22 août,,7635,,TRUE,399036649
MANITOU BF,2023,5464,5009,4462,"",Société Anonyme,Sociétés anonymes,857802508-00047,SIRET number,22 août,,5464,1,TRUE,857802508
MARSEILLAN,2022,8153,6364,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,384783239-00013,SIRET number,22 août,,8153,,TRUE,384783239
MBDA FRANCE,2023,6230,5707,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,378168470-00136,SIRET number,22 août,,6230,1,TRUE,378168470
MEDIAPOSTE,2022,,5400,6211,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,331648014-07706,SIRET number,22 août,,5400,,TRUE,331648014
MEDICA FRANCE,2022,,7920,7501,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,341174118-01576,SIRET number,22 août,,7920,,TRUE,341174118
MERSEN,2023,7534,7315,6968,"",Société Anonyme,Sociétés anonymes,572060333-00240,SIRET number,22 août,,7534,1,TRUE,572060333
METRO FRANCE,2022,,8805,,07/2024,SASU,Sociétés à responsabilité limitée,399315613-00014,SIRET number,22 août,,8805,,TRUE,399315613
NEURONES,2023,6749,6406,5869,"",Société Anonyme,Sociétés anonymes,331408336-00021,SIRET number,22 août,,6749,1,TRUE,331408336
NEXITY SA,2023,8185,8648,8296,"",Société Anonyme,Sociétés anonymes,444346795-00057,SIRET number,22 août,,8185,1,TRUE,444346795
NICOLLIN HOLDING,2022,7412,6574,5670,11/2022,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,382424158-00014,SIRET number,22 août,,7412,,TRUE,382424158
NOVARES GROUP,2022,9115,,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,814811592-00033,SIRET number,22 août,,9115,,TRUE,814811592
OGF,2023,,,5645,07/2023,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,542076799-00148,SIRET number,22 août,,5645,,TRUE,542076799
PARTS HOLDING EUROPE,2022,8697,8098,7424,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,488077165-00030,SIRET number,22 août,,8697,,TRUE,488077165
PICARD SURGELES,2022,,,5055,02/2022,Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,784939688-10915,SIRET number,22 août,,5055,,TRUE,784939688
PLASTIQUES DU VAL DE LOIRE,2023,5829,5943,6245,"",Société Anonyme,Sociétés anonymes,644800161-00015,SIRET number,22 août,,5829,1,TRUE,644800161
PROMOTHERMIS,2022,5596,5172,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,529220121-00030,SIRET number,22 août,,5596,,TRUE,529220121
RENAULT TRUCKS,2022,7444,7467,7586,"",SASU,Sociétés à responsabilité limitée,954506077-00120,SIRET number,22 août,,7444,,TRUE,954506077
ROQUETTE FRERES,2023,,7805,3418,"",SA,Sociétés anonymes,357200054-00017,SIRET number,22 août,,7805,,TRUE,357200054
RTE RESEAU DE TRANSPORT D ELECTRICITE,2022,9586,,,"",SA directoire,Sociétés anonymes,444619258-02482,SIRET number,22 août,,9586,,TRUE,444619258
SAFRAN ELECTRONICS & DEFENSE,2022,6725,6543,6510,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,480107911-00426,SIRET number,22 août,,6725,,TRUE,480107911
SANOFI PASTEUR,2022,6297,6745,6323,"",SA,Sociétés anonymes,349505370-00131,SIRET number,22 août,,6297,,TRUE,349505370
SANOFI WINTHROP INDUSTRIE,2023,8123,3891,4436,"",SA,Sociétés anonymes,775662257-00150,SIRET number,22 août,,8123,,TRUE,775662257
SAUR,2023,,6327,,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,339379984-05975,SIRET number,22 août,,6327,,TRUE,339379984
SCHNEIDER ELECTRIC FRANCE,2023,,,6285,06/2022,SASU,Sociétés à responsabilité limitée,421106709-00668,SIRET number,22 août,,6285,,TRUE,421106709
AIRBUS,2023,9737,,8944,"",Société par actions simplifiée - SAS,Sociétés à responsabilité limitée,383474814-00100,SIRET number,22 août,,9737,,TRUE,383474814
AIRBUS DEFENCE AND SPACE SAS,2022,6018,5974,5921,05/2022,SASU,Sociétés à responsabilité limitée,393341516-00093,SIRET number,22 août,,6018,,TRUE,393341516
